problem_id,Question,A,B,C,D,Answer,config,split,question_with_options,reference_solution,judge_models,cognitive_level,knowledge_dimension,method_difficulty,definition_completeness,knowledge_breadth,reasoning_type,solution_steps,human_grade,human_cognitive_level,human_depth_of_knowledge,human_grade_num,human_difficulty,cognitive_level_o4-mini,knowledge_dimension_o4-mini,method_difficulty_o4-mini,definition_completeness_o4-mini,knowledge_breadth_o4-mini,reasoning_type_o4-mini,solution_steps_o4-mini,cognitive_level_Claude-3.7-sonnet,knowledge_dimension_Claude-3.7-sonnet,method_difficulty_Claude-3.7-sonnet,definition_completeness_Claude-3.7-sonnet,knowledge_breadth_Claude-3.7-sonnet,reasoning_type_Claude-3.7-sonnet,solution_steps_Claude-3.7-sonnet,cognitive_level_gemini-2.5-pro,knowledge_dimension_gemini-2.5-pro,method_difficulty_gemini-2.5-pro,definition_completeness_gemini-2.5-pro,knowledge_breadth_gemini-2.5-pro,reasoning_type_gemini-2.5-pro,solution_steps_gemini-2.5-pro
ARCCH_Mercury_7263393,"Dr. Tanaka discovered a new virus. The virus has a single strand of a nucleic acid, but she does not know if it is DNA or RNA. After running tests, she concludes that it is DNA. Which of the following would lead her to that conclusion?",It contains uracil.,It contains adenine.,It contains thymine.,It contains cytosine.,C,ARC-Challenge,train,"Answer the following multi-choice question:
Dr. Tanaka discovered a new virus. The virus has a single strand of a nucleic acid, but she does not know if it is DNA or RNA. After running tests, she concludes that it is DNA. Which of the following would lead her to that conclusion?

Options:
A. It contains uracil.
B. It contains adenine.
C. It contains thymine.
D. It contains cytosine.
","To determine whether the nucleic acid is DNA or RNA, you look for nucleotide bases unique to one or the other.  

Step 1: List bases in DNA and RNA.  
- DNA uses adenine (A), guanine (G), cytosine (C), and thymine (T).  
- RNA uses adenine (A), guanine (G), cytosine (C), and uracil (U).  

Step 2: Identify the base that distinguishes DNA from RNA.  
- Uracil (U) is found only in RNA.  
- Thymine (T) is found only in DNA.  

Step 3: The presence of thymine indicates DNA (because RNA never has thymine).  

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Apply', 'Apply')","('Factual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(3, 3, 3)",Biology,Applying,II,,Medium,Apply,Factual,Low,yes,Single-Discipline,Deductive,3,Apply,Conceptual,Low,no,Single-Discipline,Deductive,3,Apply,Conceptual,Low,no,Single-Discipline,Deductive,3
ARCCH_Mercury_SC_408415,Cindy learned that trees release gases into to the air during photosynthesis. What gas does a tree release?,carbon dioxide,hydrogen,nitrogen,oxygen,D,ARC-Challenge,train,"Answer the following multi-choice question:
Cindy learned that trees release gases into to the air during photosynthesis. What gas does a tree release?

Options:
A. carbon dioxide
B. hydrogen
C. nitrogen
D. oxygen
","Let’s think through the process of photosynthesis step by step:

1. During photosynthesis, trees (and other green plants) use sunlight to convert water (H₂O) and carbon dioxide (CO₂) into glucose (C₆H₁₂O₆).  
2. This chemical reaction takes place in the chloroplasts, where chlorophyll captures light energy.  
3. The overall simplified equation is:  
   6 CO₂ + 6 H₂O + light energy → C₆H₁₂O₆ + 6 O₂  
4. Notice that for every six molecules of carbon dioxide and six of water used, six molecules of oxygen are produced.  
5. Therefore, the gas released (exhaled) by trees during photosynthesis is oxygen.

Answer: D","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Remember', 'Remember', 'Remember')","('Factual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(4, 2, 2)",Grade 05,Applying,II,5,Medium,Remember,Factual,Low,yes,Single-Discipline,Deductive,4,Remember,Conceptual,Low,yes,Single-Discipline,Deductive,2,Remember,Conceptual,Low,yes,Multi-Discipline,Deductive,2
ARCCH_Mercury_SC_415761,A ball is rolling on the ground. A force pushes the ball in the same direction that it is moving. What happens to the ball?,It stops moving.,It moves slower.,It moves faster in the same direction it was moving.,It keeps moving in the same speed and direction.,C,ARC-Challenge,test,"Answer the following multi-choice question:
A ball is rolling on the ground. A force pushes the ball in the same direction that it is moving. What happens to the ball?

Options:
A. It stops moving.
B. It moves slower.
C. It moves faster in the same direction it was moving.
D. It keeps moving in the same speed and direction.
","Let’s analyze using Newton’s laws:

1. The ball is already rolling in a given direction.  
2. You apply an additional push (a force) in that same direction.  
3. Newton’s second law (F_net = m·a) tells us that any net force along the direction of motion produces an acceleration in that direction.  
4. As long as the push isn’t exactly canceled by friction or other resistive forces, there’s a positive net force forward.  
5. A forward net force means the ball’s speed increases in that direction.

Therefore the ball rolls faster in the same direction it was moving.

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Apply', 'Apply')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('no', 'no', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(3, 3, 3)",Grade 03,Applying,II,3,Medium,Apply,Conceptual,Low,no,Single-Discipline,Deductive,3,Apply,Conceptual,Low,no,Single-Discipline,Deductive,3,Apply,Conceptual,Low,no,Single-Discipline,Deductive,3
ARCEZ_Mercury_7171553,Three main sequence stars are being compared. Which characteristic would these three stars most likely have in common?,chemical composition,distance from Earth,temperature,brightness,A,ARC-Easy,validation,"Answer the following multi-choice question:
Three main sequence stars are being compared. Which characteristic would these three stars most likely have in common?

Options:
A. chemical composition
B. distance from Earth
C. temperature
D. brightness
","When you pick out three main‐sequence stars, you know they’re all in the same stage of stellar evolution—burning hydrogen in their cores.  That means their primary makeup is the same: mostly hydrogen (with helium and trace “metals”).  Their temperatures and brightnesses vary widely along the sequence (from hot, luminous O‐types down to cool, dim M‐types), and their distances from Earth are unrelated.  The common feature is their chemical composition (dominantly hydrogen for fusion).  

Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Apply', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 3, 5)",Grade 07,Applying,II,7,Medium,Apply,Conceptual,Low,yes,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,3,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,5
ARCEZ_Mercury_177013,"The forelimb of the monkey, bat, penguin, and alligator look very different on the outside, but their skeletal structures are similar. This evidence suggests that these animals",may have evolved from a common ancestor.,all reproduce in a similar fashion.,live in similar environments.,should all be able to fly someday.,A,ARC-Easy,validation,"Answer the following multi-choice question:
The forelimb of the monkey, bat, penguin, and alligator look very different on the outside, but their skeletal structures are similar. This evidence suggests that these animals

Options:
A. may have evolved from a common ancestor.
B. all reproduce in a similar fashion.
C. live in similar environments.
D. should all be able to fly someday.
","Homologous structures are anatomical features that are similar in structure due to shared ancestry, even if their functions differ. The forelimbs of the monkey, bat, penguin, and alligator are considered homologous because they share a similar bone arrangement (humerus, radius, ulna, carpals, metacarpals, and phalanges) despite being adapted for different functions (grasping, flying, swimming, walking).

Step-by-step reasoning:
1. Observation: Forelimbs of these four animals look different externally (e.g., wings, flippers, hands).
2. Structural comparison: Their underlying bone structure is remarkably similar.
3. Biological principle: Such similarities in bone arrangement are best explained by descent from a common ancestor that possessed this basic forelimb structure.
4. Conclusion: These animals likely inherited variations of the same ancestral forelimb, adapting it to different functions over evolutionary time.

Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Inductive', 'Deductive', 'Deductive')","(4, 2, 2)",Grade 08,Applying,II,8,Medium,Analyze,Conceptual,Low,yes,Single-Discipline,Inductive,4,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,2,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,2
ARCEZ_Mercury_SC_407690,Penny's class was learning how rapidly some changes can happen on Earth. Which event causes the fastest change to the surface of Earth?,water flowing in a riverbed,a wave crashing on a beach,an earthquake cracking a road,wind blowing against a mountain,C,ARC-Easy,test,"Answer the following multi-choice question:
Penny's class was learning how rapidly some changes can happen on Earth. Which event causes the fastest change to the surface of Earth?

Options:
A. water flowing in a riverbed
B. a wave crashing on a beach
C. an earthquake cracking a road
D. wind blowing against a mountain
","Let’s compare the rates at which these processes alter Earth’s surface:

A) Water flowing in a riverbed  
   - Erodes and redeposits sediment continuously but relatively slowly over years to centuries.

B) A wave crashing on a beach  
   - Causes an almost instantaneous impact at the moment of each crash, but the total change per wave is quite small.

C) An earthquake cracking a road  
   - Happens virtually instantaneously (in seconds) and can produce large-scale surface displacement all at once.

D) Wind blowing against a mountain  
   - Wears down rock by erosion, but this is a very slow process taking thousands to millions of years.

Among these, the earthquake produces the most rapid, large-scale change in the shortest amount of time.

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Evaluate', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Medium')","('yes', 'no', 'no')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 3, 6)",Grade 05,Applying,II,5,Medium,Evaluate,Conceptual,Low,yes,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,no,Single-Discipline,Deductive,3,Analyze,Conceptual,Medium,no,Single-Discipline,Deductive,6
ARCEZ_Mercury_7115098,What is the main function of the chloroplasts in plant cells?,to produce glucose,to keep the cell rigid,to make the cell divide,to allow the plant to reproduce,A,ARC-Easy,test,"Answer the following multi-choice question:
What is the main function of the chloroplasts in plant cells?

Options:
A. to produce glucose
B. to keep the cell rigid
C. to make the cell divide
D. to allow the plant to reproduce
","1. Chloroplasts contain the pigment chlorophyll, which captures light energy from the sun.  
2. They use that light energy to power the photosynthesis reaction, combining carbon dioxide and water.  
3. The primary product of photosynthesis is glucose, a simple sugar that serves as an energy source for the plant.  
4. Therefore, the main function of chloroplasts is to produce glucose.

Answer: A","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Remember', 'Remember', 'Remember')","('Factual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(4, 3, 3)",Grade 07,Applying,II,7,High,Remember,Factual,Low,yes,Single-Discipline,Deductive,4,Remember,Conceptual,Low,yes,Single-Discipline,Deductive,3,Remember,Conceptual,Low,yes,Single-Discipline,Deductive,3
ARCEZ_Mercury_SC_407450,Chris stirs a cup of hot chocolate. He uses a wooden stick thinking it will stay cooler than a metal spoon. Which activity best describes the student's action?,comparing data,asking a question,making a prediction,forming a conclusion,C,ARC-Easy,test,"Answer the following multi-choice question:
Chris stirs a cup of hot chocolate. He uses a wooden stick thinking it will stay cooler than a metal spoon. Which activity best describes the student's action?

Options:
A. comparing data
B. asking a question
C. making a prediction
D. forming a conclusion
","Let’s analyze the student’s action:

1. Chris has an idea about which tool will stay cooler in hot chocolate.  
2. He chooses the wooden stick based on that idea.  
3. He hasn’t yet tested it (so it’s not a conclusion).  
4. He isn’t gathering or comparing measured data yet (so it’s not comparing data).  
5. He isn’t posing a question (so it’s not asking a question).  

Instead, he’s anticipating an outcome—predicting that the wooden stick will stay cooler than the metal spoon.

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Analyze', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Multi-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 5, 5)",Grade 04,Applying,II,4,Medium,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,yes,Multi-Discipline,Deductive,5
ARCCH_Mercury_7141995,Decomposers are important to the flow of energy in an ecosystem because they,are at the top of every food chain.,eat things other organisms do not eat.,make up a large portion of the top layer of the soil.,break organic material into parts that can be reused.,D,ARC-Challenge,train,"Answer the following multi-choice question:
Decomposers are important to the flow of energy in an ecosystem because they

Options:
A. are at the top of every food chain.
B. eat things other organisms do not eat.
C. make up a large portion of the top layer of the soil.
D. break organic material into parts that can be reused.
","Let’s analyze each option:

A) “Are at the top of every food chain.”  
Decomposers aren’t top predators; they break down dead organisms rather than preying on others in a classic trophic hierarchy.

B) “Eat things other organisms do not eat.”  
While decomposers do feed on dead material, this description doesn’t capture their crucial role in nutrient recycling or energy flow.

C) “Make up a large portion of the top layer of the soil.”  
Some decomposers live in soil, but their ecological importance isn’t simply about their abundance in the soil’s top layer.

D) “Break organic material into parts that can be reused.”  
This precisely describes the role of decomposers: they decompose dead organisms, returning nutrients and organic compounds back into the soil and ecosystem for use by producers (plants), thereby sustaining the flow of energy and matter through the ecosystem.

Answer: D","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Remember', 'Analyze', 'Analyze')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'yes', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 4, 5)",Grade 07,Applying,II,7,Low,Remember,Conceptual,Low,yes,Single-Discipline,Deductive,5,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,4,Analyze,Conceptual,Low,yes,Single-Discipline,Deductive,5
ARCEZ_Mercury_405167,Which action is an example of good water management?,letting faucets drip,watering the grass every day,turning off the faucet when brushing teeth,running the dishwasher when it is not full,C,ARC-Easy,train,"Answer the following multi-choice question:
Which action is an example of good water management?

Options:
A. letting faucets drip
B. watering the grass every day
C. turning off the faucet when brushing teeth
D. running the dishwasher when it is not full
","To identify which action exemplifies good water management, let’s consider how each choice affects water conservation:

1. Letting faucets drip  
   - A small drip can waste up to 20 gallons per day. This is generally considered wasteful rather than conservative.

2. Watering the grass every day  
   - Daily watering often exceeds a lawn’s needs and leads to runoff and evaporation losses. More efficient schedules (e.g., every few days, early morning) reduce waste.

3. Turning off the faucet when brushing teeth  
   - Shutting off the tap while lathering or brushing saves several gallons of water each time. This is a classic, high-impact conservation measure.

4. Running the dishwasher when it is not full  
   - Dishwashers consume nearly the same amount of water per cycle regardless of load size. Running it only when full maximizes efficiency; running it half-empty wastes water.

Only option C directly reduces unnecessary water flow in a common daily task.

Answer: C","('o4-mini', 'Claude-3.7-sonnet', 'gemini-2.5-pro')","('Evaluate', 'Apply', 'Evaluate')","('Conceptual', 'Conceptual', 'Conceptual')","('Low', 'Low', 'Low')","('yes', 'no', 'yes')","('Single-Discipline', 'Single-Discipline', 'Single-Discipline')","('Deductive', 'Deductive', 'Deductive')","(5, 2, 5)",Grade 06,Applying,II,6,Low,Evaluate,Conceptual,Low,yes,Single-Discipline,Deductive,5,Apply,Conceptual,Low,no,Single-Discipline,Deductive,2,Evaluate,Conceptual,Low,yes,Single-Discipline,Deductive,5
